Pothole Detection Log
Format: [Class, Width, Height, Damage Ratio]
[roadpothole, Width: 5, Height: 5, Damage Ratio: 162.73]
[roadpothole, Width: 103, Height: 50, Damage Ratio: 0.79]
[roadpothole, Width: 62, Height: 241, Damage Ratio: 0.96]
[roadpothole, Width: 278, Height: 141, Damage Ratio: 0.92]
[roadpothole, Width: 120, Height: 298, Damage Ratio: 0.92]
[roadpothole, Width: 71, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 56, Height: 249, Damage Ratio: 0.95]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.96]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 222, Height: 198, Damage Ratio: 0.98]
[roadpothole, Width: 80, Height: 118, Damage Ratio: 0.84]
[roadpothole, Width: 56, Height: 222, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.91]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 56, Height: 230, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.97]
[roadpothole, Width: 88, Height: 118, Damage Ratio: 0.89]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.97]
[roadpothole, Width: 107, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 107, Height: 111, Damage Ratio: 0.90]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 124, Height: 118, Damage Ratio: 0.83]
[roadpothole, Width: 5, Height: 25, Damage Ratio: 111.65]
[roadpothole, Width: 62, Height: 246, Damage Ratio: 0.92]
[roadpothole, Width: 88, Height: 113, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 254, Height: 198, Damage Ratio: 0.96]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.97]
[roadpothole, Width: 248, Height: 141, Damage Ratio: 0.96]
[roadpothole, Width: 107, Height: 311, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 291, Height: 198, Damage Ratio: 0.88]
[roadpothole, Width: 62, Height: 249, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 273, Height: 198, Damage Ratio: 0.92]
[roadpothole, Width: 62, Height: 249, Damage Ratio: 0.95]
[roadpothole, Width: 254, Height: 141, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 56, Height: 223, Damage Ratio: 0.98]
[roadpothole, Width: 184, Height: 78, Damage Ratio: 0.90]
[roadpothole, Width: 77, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 62, Height: 248, Damage Ratio: 0.92]
[roadpothole, Width: 44, Height: 53, Damage Ratio: 0.76]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 5, Height: 1, Damage Ratio: 5821.39]
[roadpothole, Width: 239, Height: 144, Damage Ratio: 0.85]
[roadpothole, Width: 56, Height: 259, Damage Ratio: 0.94]
[roadpothole, Width: 73, Height: 97, Damage Ratio: 0.91]
[roadpothole, Width: 75, Height: 73, Damage Ratio: 0.79]
[roadpothole, Width: 71, Height: 94, Damage Ratio: 0.94]
[roadpothole, Width: 237, Height: 151, Damage Ratio: 0.86]
[roadpothole, Width: 166, Height: 124, Damage Ratio: 0.92]
[roadpothole, Width: 71, Height: 100, Damage Ratio: 0.94]
[roadpothole, Width: 150, Height: 124, Damage Ratio: 0.94]
[roadpothole, Width: 239, Height: 138, Damage Ratio: 0.90]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.01]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 241, Height: 122, Damage Ratio: 0.83]
[roadpothole, Width: 56, Height: 241, Damage Ratio: 0.95]
[roadpothole, Width: 123, Height: 124, Damage Ratio: 0.86]
[roadpothole, Width: 78, Height: 97, Damage Ratio: 0.94]
[roadpothole, Width: 56, Height: 254, Damage Ratio: 0.95]
[roadpothole, Width: 139, Height: 122, Damage Ratio: 0.85]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 71, Height: 100, Damage Ratio: 0.93]
[roadpothole, Width: 44, Height: 78, Damage Ratio: 0.74]
[roadpothole, Width: 56, Height: 243, Damage Ratio: 0.96]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 127, Height: 84, Damage Ratio: 0.79]
[roadpothole, Width: 56, Height: 240, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 98, Damage Ratio: 0.93]
[roadpothole, Width: 171, Height: 193, Damage Ratio: 0.91]
[roadpothole, Width: 62, Height: 230, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 171, Height: 193, Damage Ratio: 0.89]
[roadpothole, Width: 3, Height: 5, Damage Ratio: 857.95]
[roadpothole, Width: 62, Height: 223, Damage Ratio: 0.93]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.98]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 203, Height: 199, Damage Ratio: 0.93]
[roadpothole, Width: 56, Height: 238, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 273, Height: 198, Damage Ratio: 0.90]
[roadpothole, Width: 56, Height: 239, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.93]
[roadpothole, Width: 3, Height: 2, Damage Ratio: 4399.41]
[roadpothole, Width: 239, Height: 128, Damage Ratio: 0.86]
[roadpothole, Width: 8, Height: 2, Damage Ratio: 3231.41]
[roadpothole, Width: 305, Height: 198, Damage Ratio: 0.86]
[roadpothole, Width: 24, Height: 5, Damage Ratio: 293.01]
[roadpothole, Width: 32, Height: 5, Damage Ratio: 219.76]
[roadpothole, Width: 233, Height: 186, Damage Ratio: 0.81]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 178, Height: 105, Damage Ratio: 0.66]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 232, Height: 127, Damage Ratio: 0.85]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 222, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 62, Height: 265, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 76, Height: 91, Damage Ratio: 0.83]
[roadpothole, Width: 56, Height: 241, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 8, Height: 4, Damage Ratio: 1720.46]
[roadpothole, Width: 305, Height: 198, Damage Ratio: 0.91]
[roadpothole, Width: 56, Height: 247, Damage Ratio: 0.95]
[roadpothole, Width: 77, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.95]
[roadpothole, Width: 71, Height: 96, Damage Ratio: 0.94]
[roadpothole, Width: 254, Height: 195, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 96, Damage Ratio: 0.92]
[roadpothole, Width: 235, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 71, Height: 97, Damage Ratio: 0.94]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 229, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 235, Height: 130, Damage Ratio: 0.98]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 235, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 118, Height: 118, Damage Ratio: 0.84]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 254, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 254, Height: 141, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 284, Height: 198, Damage Ratio: 0.93]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.98]
[roadpothole, Width: 80, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 19, Height: 10, Damage Ratio: 281.79]
[roadpothole, Width: 19, Height: 25, Damage Ratio: 112.72]
[roadpothole, Width: 307, Height: 199, Damage Ratio: 0.88]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 272, Height: 135, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.94]
[roadpothole, Width: 273, Height: 194, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 278, Height: 136, Damage Ratio: 0.98]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 11, Height: 24, Damage Ratio: 209.06]
[roadpothole, Width: 310, Height: 198, Damage Ratio: 0.90]
[roadpothole, Width: 272, Height: 141, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 297, Height: 198, Damage Ratio: 0.91]
[roadpothole, Width: 267, Height: 135, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 272, Height: 198, Damage Ratio: 0.94]
[roadpothole, Width: 261, Height: 141, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 283, Height: 198, Damage Ratio: 0.92]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 261, Height: 141, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 260, Height: 195, Damage Ratio: 0.95]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 273, Height: 194, Damage Ratio: 0.95]
[roadpothole, Width: 143, Height: 224, Damage Ratio: 1.00]
[roadpothole, Width: 77, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 194, Damage Ratio: 0.95]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.99]
[roadpothole, Width: 273, Height: 141, Damage Ratio: 0.95]
[roadpothole, Width: 71, Height: 103, Damage Ratio: 0.93]
[roadpothole, Width: 305, Height: 198, Damage Ratio: 0.91]
[roadpothole, Width: 267, Height: 135, Damage Ratio: 0.94]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.98]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 265, Height: 195, Damage Ratio: 0.95]
[roadpothole, Width: 76, Height: 84, Damage Ratio: 0.83]
[roadpothole, Width: 267, Height: 141, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 272, Height: 198, Damage Ratio: 0.94]
[roadpothole, Width: 94, Height: 118, Damage Ratio: 0.72]
[roadpothole, Width: 261, Height: 141, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 261, Height: 198, Damage Ratio: 0.96]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.98]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 241, Height: 198, Damage Ratio: 0.97]
[roadpothole, Width: 105, Height: 118, Damage Ratio: 0.75]
[roadpothole, Width: 254, Height: 141, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 267, Height: 198, Damage Ratio: 0.95]
[roadpothole, Width: 261, Height: 141, Damage Ratio: 0.95]
[roadpothole, Width: 77, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 291, Height: 198, Damage Ratio: 0.90]
[roadpothole, Width: 261, Height: 136, Damage Ratio: 0.97]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 266, Height: 195, Damage Ratio: 0.95]
[roadpothole, Width: 267, Height: 141, Damage Ratio: 0.96]
[roadpothole, Width: 71, Height: 103, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 194, Damage Ratio: 0.96]
[roadpothole, Width: 32, Height: 5, Damage Ratio: 217.04]
[roadpothole, Width: 247, Height: 180, Damage Ratio: 0.78]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 151, Height: 192, Damage Ratio: 1.01]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.00]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.96]
[roadpothole, Width: 143, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.97]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.98]
[roadpothole, Width: 70, Height: 103, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.97]
[roadpothole, Width: 143, Height: 280, Damage Ratio: 1.00]
[roadpothole, Width: 71, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.97]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.94]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.97]
[roadpothole, Width: 75, Height: 83, Damage Ratio: 0.89]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.98]
[roadpothole, Width: 145, Height: 287, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.96]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.98]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 91, Damage Ratio: 0.94]
[roadpothole, Width: 273, Height: 194, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 62, Height: 201, Damage Ratio: 0.93]
[roadpothole, Width: 254, Height: 167, Damage Ratio: 0.85]
[roadpothole, Width: 78, Height: 98, Damage Ratio: 0.94]
[roadpothole, Width: 63, Height: 58, Damage Ratio: 0.87]
[roadpothole, Width: 62, Height: 177, Damage Ratio: 0.92]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.95]
[roadpothole, Width: 51, Height: 61, Damage Ratio: 0.92]
[roadpothole, Width: 60, Height: 64, Damage Ratio: 0.90]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.98]
[roadpothole, Width: 74, Height: 50, Damage Ratio: 0.76]
[roadpothole, Width: 208, Height: 82, Damage Ratio: 0.70]
[roadpothole, Width: 65, Height: 108, Damage Ratio: 0.98]
[roadpothole, Width: 74, Height: 49, Damage Ratio: 0.88]
[roadpothole, Width: 75, Height: 58, Damage Ratio: 0.92]
[roadpothole, Width: 60, Height: 116, Damage Ratio: 0.99]
[roadpothole, Width: 70, Height: 69, Damage Ratio: 0.92]
[roadpothole, Width: 120, Height: 317, Damage Ratio: 0.97]
[roadpothole, Width: 62, Height: 84, Damage Ratio: 0.97]
[roadpothole, Width: 143, Height: 161, Damage Ratio: 0.98]
[roadpothole, Width: 85, Height: 61, Damage Ratio: 0.95]
[roadpothole, Width: 107, Height: 274, Damage Ratio: 0.98]
[roadpothole, Width: 74, Height: 77, Damage Ratio: 0.83]
[roadpothole, Width: 60, Height: 123, Damage Ratio: 0.95]
[roadpothole, Width: 143, Height: 161, Damage Ratio: 0.94]
[roadpothole, Width: 70, Height: 92, Damage Ratio: 0.92]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.98]
[roadpothole, Width: 70, Height: 92, Damage Ratio: 0.96]
[roadpothole, Width: 114, Height: 55, Damage Ratio: 0.90]
[roadpothole, Width: 107, Height: 311, Damage Ratio: 0.99]
[roadpothole, Width: 94, Height: 118, Damage Ratio: 0.83]
[roadpothole, Width: 70, Height: 92, Damage Ratio: 0.97]
[roadpothole, Width: 107, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 165, Height: 186, Damage Ratio: 1.00]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 361, Height: 202, Damage Ratio: 0.76]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.97]
[roadpothole, Width: 14, Height: 4, Damage Ratio: 1105.65]
[roadpothole, Width: 369, Height: 202, Damage Ratio: 0.83]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.98]
[roadpothole, Width: 54, Height: 5, Damage Ratio: 215.27]
[roadpothole, Width: 356, Height: 202, Damage Ratio: 0.81]
[roadpothole, Width: 70, Height: 97, Damage Ratio: 0.96]
[roadpothole, Width: 41, Height: 10, Damage Ratio: 147.84]
[roadpothole, Width: 6, Height: 18, Damage Ratio: 561.26]
[roadpothole, Width: 369, Height: 202, Damage Ratio: 0.81]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.98]
[roadpothole, Width: 363, Height: 204, Damage Ratio: 0.87]
[roadpothole, Width: 78, Height: 94, Damage Ratio: 0.92]
[roadpothole, Width: 145, Height: 280, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 104, Height: 26, Damage Ratio: 22.76]
[roadpothole, Width: 8, Height: 9, Damage Ratio: 854.67]
[roadpothole, Width: 363, Height: 204, Damage Ratio: 0.83]
[roadpothole, Width: 121, Height: 10, Damage Ratio: 48.70]
[roadpothole, Width: 363, Height: 202, Damage Ratio: 0.80]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 343, Height: 197, Damage Ratio: 0.82]
[roadpothole, Width: 140, Height: 13, Damage Ratio: 31.33]
[roadpothole, Width: 363, Height: 202, Damage Ratio: 0.78]
[roadpothole, Width: 71, Height: 91, Damage Ratio: 0.97]
[roadpothole, Width: 75, Height: 5, Damage Ratio: 148.90]
[roadpothole, Width: 375, Height: 202, Damage Ratio: 0.74]
[roadpothole, Width: 71, Height: 97, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 99, Damage Ratio: 0.87]
[roadpothole, Width: 190, Height: 180, Damage Ratio: 0.91]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 77, Height: 98, Damage Ratio: 0.87]
[roadpothole, Width: 2, Height: 1, Damage Ratio: 36958.82]
[roadpothole, Width: 304, Height: 317, Damage Ratio: 0.77]
[roadpothole, Width: 66, Height: 92, Damage Ratio: 0.97]
[roadpothole, Width: 112, Height: 174, Damage Ratio: 0.84]
[roadpothole, Width: 68, Height: 38, Damage Ratio: 0.93]
[roadpothole, Width: 61, Height: 108, Damage Ratio: 0.77]
[roadpothole, Width: 60, Height: 113, Damage Ratio: 9.52]
[roadpothole, Width: 292, Height: 286, Damage Ratio: 0.77]
[roadpothole, Width: 229, Height: 204, Damage Ratio: 0.96]
[roadpothole, Width: 63, Height: 108, Damage Ratio: 0.83]
[roadpothole, Width: 222, Height: 204, Damage Ratio: 0.96]
[roadpothole, Width: 50, Height: 133, Damage Ratio: 0.92]
[roadpothole, Width: 133, Height: 120, Damage Ratio: 0.69]
[roadpothole, Width: 105, Height: 118, Damage Ratio: 0.88]
[roadpothole, Width: 132, Height: 170, Damage Ratio: 0.73]
[roadpothole, Width: 26, Height: 19, Damage Ratio: 0.93]
[roadpothole, Width: 99, Height: 203, Damage Ratio: 0.88]
[roadpothole, Width: 77, Height: 92, Damage Ratio: 0.97]
[roadpothole, Width: 77, Height: 94, Damage Ratio: 0.97]
[roadpothole, Width: 112, Height: 273, Damage Ratio: 0.99]
[roadpothole, Width: 62, Height: 115, Damage Ratio: 0.89]
[roadpothole, Width: 67, Height: 184, Damage Ratio: 0.97]
[roadpothole, Width: 151, Height: 202, Damage Ratio: 0.88]
[roadpothole, Width: 62, Height: 179, Damage Ratio: 0.94]
[roadpothole, Width: 77, Height: 97, Damage Ratio: 0.95]
[roadpothole, Width: 62, Height: 180, Damage Ratio: 0.94]
[roadpothole, Width: 107, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 151, Height: 167, Damage Ratio: 0.97]
[roadpothole, Width: 62, Height: 188, Damage Ratio: 1.00]
[roadpothole, Width: 77, Height: 100, Damage Ratio: 0.93]
[roadpothole, Width: 113, Height: 273, Damage Ratio: 1.01]
[roadpothole, Width: 62, Height: 172, Damage Ratio: 0.95]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 0.95]
[roadpothole, Width: 70, Height: 98, Damage Ratio: 0.95]
[roadpothole, Width: 107, Height: 273, Damage Ratio: 1.01]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 0.94]
[roadpothole, Width: 56, Height: 174, Damage Ratio: 0.97]
[roadpothole, Width: 62, Height: 184, Damage Ratio: 0.99]
[roadpothole, Width: 70, Height: 95, Damage Ratio: 0.97]
[roadpothole, Width: 107, Height: 273, Damage Ratio: 1.01]
[roadpothole, Width: 17, Height: 28, Damage Ratio: 67.38]
[roadpothole, Width: 6, Height: 3, Damage Ratio: 1781.89]
[roadpothole, Width: 158, Height: 243, Damage Ratio: 0.84]
[roadpothole, Width: 145, Height: 180, Damage Ratio: 0.95]
